firm_id,year,country,company,industry_code,ESG_Score,ESGC_Score,board_size,board_ind,female_board,sus_comp,pe_comp,marketcap,roa,debt,asset,mtb,gri,co,greenwashing,female_critical_mass,log_co2,leverage,firm_size,roa_raw,leverage_raw,mtb_raw
266,2024,TH,BEC World PCL,communication_services,57.9902627347336,100.0,12.0,38.4615384615385,41.6666666666667,1.0,1.0,228337236.533958,0.0134,65163088.7915937,268684567.600701,1.28460666178269,1.0,2931.0,-42.0097372652664,1.0,7.983098940710892,0.2425263548758567,19.40904863836992,0.0134,0.2425263548758567,1.28460666178269
267,2017,TH,Bangkok Dusit Medical Services PCL,health_care,43.9595358567512,100.0,16.0,55.5555555555556,12.5,0.0,0.0,9946574245.34562,0.08897000000000001,1208460245.77573,3767333056.83564,5.17380058572306,0.0,94736.77,-56.0404641432488,0.0,11.45885748258855,0.3207734032389407,22.04963317609247,0.08897000000000001,0.3207734032389407,5.17380058572306
267,2018,TH,Bangkok Dusit Medical Services PCL,health_care,47.9116936863328,100.0,18.0,50.0,11.1111111111111,0.0,0.0,11941921019.9877,0.07177,1235674648.34519,4129253044.72626,5.54770024483502,0.0,103507.94,-52.0883063136672,0.0,11.54740360372096,0.299248952525046,22.14136236672096,0.07177,0.299248952525046,5.54770024483502
267,2019,TH,Bangkok Dusit Medical Services PCL,health_care,63.9260190295448,92.8571428571429,18.0,44.4444444444444,11.1111111111111,1.0,0.0,13800669648.2966,0.07019,820886648.655914,4491321808.43414,4.92990247515896,1.0,109173.75,-28.93112382759811,0.0,11.60069592878054,0.1827717281612713,22.22541288478278,0.07019,0.1827717281612713,4.92990247515896
267,2020,TH,Bangkok Dusit Medical Services PCL,health_care,56.9823816209493,100.0,18.0,44.4444444444444,11.1111111111111,0.0,0.0,11040535718.6373,0.03549,807110836.251665,4528969748.43542,3.76012906085622,1.0,104150.45,-43.0176183790507,0.0,11.55359176737109,0.1782106927365743,22.2337603219741,0.03549,0.1782106927365743,3.76012906085622
267,2021,TH,Bangkok Dusit Medical Services PCL,health_care,53.5050766455498,100.0,18.0,47.3684210526316,11.1111111111111,0.0,0.0,10963288649.82,0.06,566642158.290701,3865591887.75203,4.3594156207702,1.0,104610.25,-46.4949233544502,0.0,11.55799681816384,0.1465861308551696,22.07538064768843,0.06,0.1465861308551696,4.3594156207702
267,2022,TH,Bangkok Dusit Medical Services PCL,health_care,58.9228964278506,100.0,17.0,44.4444444444444,11.7647058823529,0.0,0.0,13316037415.6313,0.09339,681706853.97284,4089652143.83126,5.12763552687593,1.0,242540.83,-41.0771035721494,0.0,12.39892534632087,0.1666906695233508,22.13172575297613,0.09339,0.1666906695233508,5.12763552687593
267,2023,TH,Bangkok Dusit Medical Services PCL,health_care,57.5098478546206,100.0,15.0,41.1764705882353,13.3333333333333,0.0,0.0,12872243216.1778,0.1008,527918951.965065,4186096360.98981,4.6206468643554,1.0,184209.73,-42.4901521453794,0.0,12.12383022442672,0.1261124700531828,22.15503448053083,0.1008,0.1261124700531828,4.6206468643554
267,2024,TH,Bangkok Dusit Medical Services PCL,health_care,54.6961381276077,100.0,15.0,40.0,13.3333333333333,0.0,0.0,11397952178.791,0.1083,535840600.758902,4422477290.01751,3.89211655367284,1.0,196445.69,-45.3038618723923,0.0,12.18814128532114,0.1211629965785037,22.20996584888441,0.1083,0.1211629965785037,3.89211655367284
268,2022,TH,Bumrungrad Hospital PCL,health_care,57.4785804695154,100.0,12.0,50.0,27.2727272727273,0.0,0.0,4870576502.31869,0.2189,1828417.2493499,700919142.473274,8.55209692310924,1.0,26416.0,-42.5214195304846,0.0,10.18172516615991,0.002608599392646232,20.3679030923735,0.2189,0.002608599392646232,8.55209692310924
268,2023,TH,Bumrungrad Hospital PCL,health_care,55.9958290280035,100.0,11.0,45.4545454545455,27.2727272727273,0.0,0.0,5151335551.83888,0.2621,2653399.41775837,850425189.141194,7.41440503093095,1.0,28192.0,-44.0041709719965,0.0,10.24679352873591,0.003120085636736511,20.56124700489811,0.2621,0.003120085636736511,7.41440503093095
268,2024,TH,Bumrungrad Hospital PCL,health_care,59.504861650704,100.0,11.0,45.4545454545455,27.2727272727273,0.0,0.0,4642439415.36885,0.25129,4070171.80385289,953095290.922358,5.76951705187134,1.0,29608.0,-40.495138349296,0.0,10.29579987406599,0.004270477299194272,20.67522544709443,0.25129,0.004270477299194272,5.76951705187134
269,2018,TH,Berli Jucker PCL,consumer_staples,37.7244006131822,100.0,16.0,44.4444444444444,18.75,0.0,0.0,6242678425.7606,0.02091,4946069929.84844,10023507483.7921,1.8295114682066,0.0,1056089.0,-62.2755993868178,0.0,13.87008301999999,0.4934470231948427,23.02819891963317,0.02091,0.4934470231948427,1.8295114682066
269,2019,TH,Berli Jucker PCL,consumer_staples,36.7619180550632,100.0,16.0,50.0,18.75,0.0,0.0,5620817493.58717,0.0224,5298201825.67204,10947729919.422,1.46278172326571,0.0,1168236.02,-63.2380819449368,0.0,13.97100549387434,0.4839543781832504,23.11639795842175,0.0224,0.4839543781832504,1.46278172326571
269,2020,TH,Berli Jucker PCL,consumer_staples,51.4001825156881,100.0,16.0,50.0,18.75,0.0,0.0,4651667845.36573,0.01229,5474335886.68442,10857414634.1545,1.21445804362512,0.0,1198362.0,-48.5998174843119,0.0,13.99646618229709,0.504202526213159,23.10811405995731,0.01229,0.504202526213159,1.21445804362512
269,2021,TH,Berli Jucker PCL,consumer_staples,56.2895300265152,100.0,16.0,50.0,18.75,0.0,0.0,3726505628.94421,0.0109,4932939364.85104,9927134299.5787,1.07220541886794,0.0,1085259.0,-43.7104699734848,0.0,13.89732922614749,0.4969147405470671,23.01853768317999,0.0109,0.4969147405470671,1.07220541886794
269,2022,TH,Berli Jucker PCL,consumer_staples,68.2714938052235,100.0,17.0,52.9411764705882,23.5294117647059,0.0,0.0,4081907935.2716,0.01505,4758137159.20254,9709464809.10142,1.19429476791994,1.0,1236207.0,-31.7285061947765,0.0,14.02755837870543,0.4900514346313277,22.99636700023334,0.01505,0.4900514346313277,1.19429476791994
269,2023,TH,Berli Jucker PCL,consumer_staples,64.6509575184221,100.0,18.0,50.0,27.7777777777778,0.0,0.0,2924545168.56392,0.01419,4838182618.0786,9868116755.25473,0.837293645803474,1.0,1242926.0,-35.3490424815779,0.0,14.0329788353337,0.4902842901106017,23.01257486724749,0.01419,0.4902842901106017,0.837293645803474
